City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
403,Toyooka,JP,71.71,overcast clouds,35.5333,134.8333,O Hotel Toyooka
404,Tondano,ID,69.89,scattered clouds,1.3038,124.9112,Villa Bella
411,Westport,US,79.05,clear sky,41.1415,-73.3579,The Westport Inn
412,Asau,RO,67.95,clear sky,46.4333,26.4,Casa Mika Ciobanus
414,Weinan,CN,76.69,overcast clouds,34.5036,109.5089,Thank Inn Chain Hotel shanxi weinan linwei district jiefang road
415,Kota,IN,79.43,few clouds,25.1833,75.8333,Hotel Tanishq
416,Mwene-Ditu,CD,74.07,clear sky,-7.0,23.45,Hôtel Kamas
418,Ormara,PK,79.02,overcast clouds,25.2088,64.6357,Crystal Beach and Camping Resort Ormara
420,Jeremie,HT,83.59,overcast clouds,18.65,-74.1167,Auberge’Inn
421,Doume,CM,67.91,overcast clouds,4.2333,13.45,Hotel Universel
422,Aparecida Do Taboado,BR,80.38,clear sky,-20.0867,-51.0936,Aritana
424,Nassau,US,80.31,clear sky,40.7507,-73.5829,Hilton Garden Inn Westbury
